Q711	P100017
Q929	P100012
Q148	P100018
Q837	P100022
Q419	P100022
Q398	P100014
Q218	P100015
Q31	P100015
Q813	P100019
Q878	P100013
Q945	P100014
Q1041	P100021
Q843	P100020
Q796	P100016
Q967	P100018
Q734	P100021
Q114	P100022
Q20	P100011
Q230	P100022
Q222	P100018
Q954	P100017
Q77	P100020
Q244	P100021
Q983	P100019
Q854	P100022
Q970	P100011
Q983	P100013
Q851	P100014
Q854	P100013
Q881	P100021
Q211	P100016
Q683	P100012
Q1020	P100020
Q874	P100014
Q233	P100012
Q1045	P100012
Q733	P100019
Q574	P100018
Q30	P100012
Q29	P100022
Q796	P100012
Q837	P100013
Q419	P100013
Q232	P100022
Q33	P100018
Q1030	P100014
Q736	P100014
Q817	P100011
Q222	P100020
Q842	P100021
Q31	P100013
Q224	P100022
Q983	P100018
Q711	P100020
Q792	P100020
Q16	P100021
Q43	P100022
Q851	P100022
Q863	P100012
Q227	P100014
Q1028	P100015
Q219	P100015
Q1016	P100017
Q29999	P100015
Q657	P100015
Q657	P100016
Q37	P100014
Q664	P100015
Q874	P100022
Q1036	P100015
Q258	P100021
Q739	P100019
Q863	P100015
Q29	P100014
Q41	P100012
Q953	P100020
Q43	P100020
Q36	P100016
Q813	P100022
Q148	P100015
Q668	P100021
Q736	P100022
Q965	P100011
Q878	P100020
Q977	P100022
Q145	P100015
Q145	P100022
Q730	P100017
Q766	P100018
Q241	P100020
Q811	P100015
Q227	P100022
Q39	P100019
Q917	P100013
Q921	P100012
Q963	P100021
Q32	P100020
Q37	P100022
Q1006	P100020
Q236	P100021
Q217	P100019
Q1013	P100022
Q881	P100016
Q1028	P100013
Q219	P100013
Q1000	P100017
Q754	P100018
Q733	P100022
Q902	P100011
Q1032	P100021
Q20	P100020
Q252	P100021
Q232	P100019
Q769	P100012
Q1030	P100017
Q842	P100015
Q963	P100019
Q211	P100020
Q781	P100013
Q38	P100015
Q183	P100017
Q846	P100017
Q963	P100022
Q921	P100021
Q33	P100015
Q16	P100017
Q265	P100012
Q783	P100015
Q298	P100019
Q1025	P100022
Q962	P100015
Q39	P100011
Q30	P100014
Q230	P100016
Q1044	P100019
Q298	P100011
Q16	P100016
Q846	P100020
Q917	P100019
Q16	P100015
Q218	P100013
Q953	P100021
Q142	P100016
Q754	P100016
Q836	P100013
Q225	P100021
Q851	P100018
Q403	P100013
Q242	P100015
Q225	P100015
Q691	P100022
Q929	P100018
Q117	P100011
Q800	P100015
Q977	P100017
Q874	P100018
Q902	P100015
Q155	P100019
Q262	P100011
Q398	P100016
Q668	P100016
Q928	P100017
Q222	P100021
Q31	P100020
Q1032	P100020
Q954	P100018
Q843	P100015
Q800	P100020
Q213	P100020
Q983	P100014
Q912	P100022
Q43	P100016
Q774	P100016
Q851	P100016
Q769	P100013
Q833	P100016
Q851830	P100011
Q804	P100011
Q836	P100017
Q1044	P100017
Q37	P100018
Q20	P100012
Q846	P100021
Q334	P100016
Q912	P100020
Q786	P100015
Q1006	P100015
Q36	P100022
Q1030	P100016
Q977	P100019
Q734	P100020
Q241	P100014
Q851830	P100016
Q1014	P100020
Q948	P100020
Q155	P100017
Q574	P100020
Q986	P100018
Q244	P100018
Q912	P100017
Q1029	P100017
Q227	P100016
Q977	P100018
